birth_place,placeOfBirth
death_place,placeOfDeath
resting_place,restingPlace
place_of_burial,placeOfBurial
burial_place,placeOfBurial
burial,placeOfBurial
disappeared_place,disappearedPlace
nationality,nationality
citizenship,countryOfCitizenship
residence,residence
origin,origin
home_town,hometown
hometown,hometown
country,country
Sport country,countryForSport
formercountry,formerCountry
homecountry,homeCountry
country2,country
country3,country
Spouse,spouse
spouse,spouse
spouses,spouse
Wife,spouse
consorts,spouse
consort,spouse
Children,child
children,child
issue,child
Father,father
father,father
Mother,mother
mother,mother
parents,parents
parent,parents
relatives,relative
relations,relative
partner,partner
formerpartner,formerPartner
former_partner,formerPartner
domesticpartner,domesticPartner
domestic_partner,domesticPartner
life_partner,lifePartner
opponent,opponent
alma_mater,almaMater
education,educatedAt
high_school,highSchool
high school,highSchool
highschool,highSchool
pastschool,pastSchool
college,college
university,university
employer,employer
organisation,organisation
organization,organisation
Successor,successor
successor,successor
successor1,successor
successor2,successor
successor3,successor
successor4,successor
successor5,successor
successor6,successor
successor7,successor
successor8,successor
successor9,successor
successor10,successor
succeeding,successor
Predecessor,predecessor
predecessor,predecessor
predecessor1,predecessor
predecessor2,predecessor
predecessor3,predecessor
predecessor4,predecessor
predecessor5,predecessor
predecessor6,predecessor
predecessor7,predecessor
predecessor8,predecessor
predecessor9,predecessor
predecessor10,predecessor
agent,agent
agency,agency
agentcompany,agency
ancestory,ancestory
party,memberOfPoliticalParty
boards,boardMemberOf
church,church
doctoral_advisor,doctoralAdvisor
academic_advisor,academicAdvisor
influences,influencedBy
workplace,workplace
doctoral_student,doctoralStudent
notable_student,notableStudent
practice,practiceAt
influenced,influenced
significant_buildings,significantBuilding
patrons,patron
air_force,airForce
restaurants,restaurant
ordinated_by,ordinatedBy
consecrated_by,consecrator
created_cardinal_by,createdCardinalBy
beatified_place,beatifiedPlace
beatified_by,beatifiedBy
cononized_place,canonizedPlace
canonized_by,canonizedBy
allegiance,allegiance
victims,victim
location,locatedAt
imprisoned,imprisonedAt
current_members,currentMemberOf
past_members,pastMemberOf
collaborator,collaborator
wanted_by,wantedBy
institution,institution
institute,institution
guru,guru
disciples,disciple
teacher,teacher
pupil,pupil
student,student
region,region
incumbent,incumbent
founder,founderOf
coach,coachOf
headcoach,headCoachOf
assistcoach,assistCoachOf
formercoach,formerCoachOf
perscoach,persCoachOf
trainer,trainer
team,team
teams,team
olympic team,olympicTeam
olympicteams,olympicTeam
paralympicteams,paralympicTeam
worldsteams,worldsTeam
Team,team
Team(s),team
collegeteam,collegeTeam
college1,collegeTeam
college2,collegeTeam
college3,collegeTeam
pastteams,formerTeam
former_teams,formerTeam
collegeteam,collegeTeam
draft_team,draftTeam
universityteam,universityTeam
debutteam,debutTeam
team1,team
team2,team
team3,team
team4,team
team5,team
team6,team
team7,team
team8,team
team9,team
team10,team
team11,team
team12,team
team13,team
team14,team
team15,team
team16,team
team17,team
team18,team
team19,team
team20,team
cteam1,coachedTeam
cteam2,coachedTeam
cteam3,coachedTeam
cteam4,coachedTeam
cteam5,coachedTeam
cteam6,coachedTeam
cteam7,coachedTeam
cteam8,coachedTeam
cteam9,coachedTeam
cteam10,coachedTeam
cteam11,coachedTeam
cteam12,coachedTeam
cteam13,coachedTeam
cteam14,coachedTeam
cteam15,coachedTeam
cteam16,coachedTeam
cteam17,coachedTeam
cteam18,coachedTeam
cteam19,coachedTeam
cteam20,coachedTeam
national_team,nationalTeam
nationalteam1,nationalTeam
nationalteam2,nationalTeam
nationalteam3,nationalTeam
nationalteam4,nationalTeam
nationalteam5,nationalTeam
nationalteam6,nationalTeam
nationalteam7,nationalTeam
nationalteam8,nationalTeam
nationalteam9,nationalTeam
nationalteam10,nationalTeam
natlteam,nationalTeam
ntl_team,nationalTeam
ntl_team2,nationalTeam
ntl_team3,nationalTeam
rl_nationalteam1,nationalTeam
rl_nationalteam2,nationalTeam
rl_nationalteam3,nationalTeam
rl_nationalteam4,nationalTeam
rl_nationalteam5,nationalTeam
rl_nationalteam6,nationalTeam
rl_nationalteam7,nationalTeam
rl_nationalteam8,nationalTeam
rl_nationalteam9,nationalTeam
rl_nationalteam10,nationalTeam
rl_coachteams1,coachedTeam
rl_coachteams2,coachedTeam
rl_coachteams3,coachedTeam
rl_coachteams4,coachedTeam
rl_coachteams5,coachedTeam
rl_coachteams6,coachedTeam
rl_coachteams7,coachedTeam
rl_coachteams8,coachedTeam
rl_coachteams9,coachedTeam
rl_coachteams10,coachedTeam
rl_coachteams11,coachedTeam
rl_coachteams12,coachedTeam
rl_coachteams13,coachedTeam
rl_coachteams14,coachedTeam
rl_coachteams15,coachedTeam
rl_coachteams16,coachedTeam
rl_coachteams17,coachedTeam
rl_coachteams18,coachedTeam
rl_coachteams19,coachedTeam
rl_coachteams20,coachedTeam
amatteam1,amateurTeam
amatteam2,amateurTeam
amatteam3,amateurTeam
amatteam4,amateurTeam
amatteam5,amateurTeam
amatteam6,amateurTeam
amatteam7,amateurTeam
amatteam8,amateurTeam
amatteam9,amateurTeam
amatteam10,amateurTeam
repteam1,proTeam
repteam2,proTeam
repteam3,proTeam
repteam4,proTeam
repteam5,proTeam
repteam6,proTeam
repteam7,proTeam
repteam8,proTeam
repteam9,proTeam
repteam10,proTeam
ru_sevensnationalteam1,team
ru_sevensnationalteam2,team
ru_sevensnationalteam3,team
ru_sevensnationalteam4,team
ru_sevensnationalteam5,team
ru_sevensnationalteam6,team
ru_sevensnationalteam7,team
ru_sevensnationalteam8,team
ru_sevensnationalteam9,team
ru_sevensnationalteam10,team
coachteams1,coachedTeam
coachteams2,coachedTeam
coachteams3,coachedTeam
coachteams4,coachedTeam
coachteams5,coachedTeam
coachteams6,coachedTeam
coachteams7,coachedTeam
coachteams8,coachedTeam
coachteams9,coachedTeam
coachteams10,coachedTeam
amateur_team,amateurTeam
amateurteam1,amateurTeam
amateurteam2,amateurTeam
amateurteam3,amateurTeam
amateurteam4,amateurTeam
amateurteam5,amateurTeam
amateurteam6,amateurTeam
amateurteam7,amateurTeam
amateurteam8,amateurTeam
amateurteam9,amateurTeam
amateurteam10,amateurTeam
amateurteam11,amateurTeam
amateurteam12,amateurTeam
amateurteam13,amateurTeam
amateurteam14,amateurTeam
amateurteam15,amateurTeam
proteam1,proTeam
proteam2,proTeam
proteam3,proTeam
proteam4,proTeam
proteam5,proTeam
proteam6,proTeam
proteam7,proTeam
proteam8,proTeam
proteam9,proTeam
proteam10,proTeam
proteam11,proTeam
proteam12,proTeam
proteam13,proTeam
proteam14,proTeam
proteam15,proTeam
manageteam1,managedTeam
